epoch,accuracy,loss,val_accuracy,val_loss
0,0.7210000157356262,0.7488565444946289,0.8174999952316284,0.38606536388397217
1,0.8569999933242798,0.34001973271369934,0.8862500190734863,0.27558839321136475
2,0.8930000066757202,0.27083444595336914,0.8837500214576721,0.27131280303001404
3,0.8980000019073486,0.2624160349369049,0.8849999904632568,0.2960467040538788
4,0.921999990940094,0.1895996481180191,0.9024999737739563,0.2857699990272522
5,0.9380000233650208,0.15501870214939117,0.9049999713897705,0.28085124492645264
6,0.9419999718666077,0.1516505628824234,0.8912500143051147,0.3099249601364136
7,0.953000009059906,0.1293097287416458,0.8974999785423279,0.3408276438713074
8,0.9639999866485596,0.10388725996017456,0.9024999737739563,0.3205667734146118
9,0.9570000171661377,0.1061989963054657,0.8974999785423279,0.33329954743385315
